Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
1,Female,From 20 to 29,Student,"$100,000-$150,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,4,3,5,5,4,4,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",Yes
2,Female,From 20 to 29,Student,"$50,000 - $100,000",Rarely,Take away,Below 30 minutes,Yes,Cold drinks;Pastries,Less than $10,4,3,4,4,4,5,2,Social Media;In Store displays,Yes
3,Male,From 20 to 29,Employed,"Less than $25,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,4,3,4,4,4,4,3,In Store displays;Billboards,Yes
4,Female,From 20 to 29,Student,"$100,000-$150,000",Never,Take away,Below 30 minutes,No,Coffee,More than $20,2,1,4,3,3,3,3,Through friends and word of mouth,No
5,Male,From 20 to 29,Student,"$100,000-$150,000",Daily,Take away,Between 30 minutes to 1 hour,No,Coffee;Sandwiches,More than $20,3,3,4,2,2,3,3,Starbucks Website/Apps;Social Media,Yes
6,Female,From 20 to 29,Student,"Less than $25,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Less than $10,4,3,5,5,4,5,4,Social Media,Yes
7,Female,From 20 to 29,Student,"Less than $25,000",Weekly,Dine in,Below 30 minutes,Yes,Coffee,Between $10-$15,5,5,5,5,3,5,5,Starbucks Website/Apps;Social Media,Yes
8,Male,From 20 to 29,Employed,"$25,000 - $50,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks,Between $10-$15,4,2,3,3,3,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
9,Female,From 20 to 29,Student,"More than $150,000",Daily,Drive-thru,Below 30 minutes,Yes,Cold drinks,More than $20,5,4,4,4,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
10,Male,From 20 to 29,Employed,"$50,000 - $100,000",Never,Take away,Below 30 minutes,No,Coffee,Between $15-$20,4,3,3,4,3,3,4,Social Media;Through friends and word of mouth,Yes
11,Female,From 20 to 29,Student,"$100,000-$150,000",Never,Dine in,Below 30 minutes,No,Cold drinks,Between $15-$20,4,1,4,5,3,3,4,Social Media,Yes
12,Female,From 20 to 29,Student,"Less than $25,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,3,2,4,4,3,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
13,Female,From 20 to 29,Student,"Less than $25,000",Rarely,Take away,Below 30 minutes,Yes,Coffee;Sandwiches,More than $20,4,3,2,4,4,3,4,Social Media,Yes
14,Female,From 20 to 29,Student,"Less than $25,000",Monthly,Take away,Below 30 minutes,Yes,Coffee,More than $20,4,3,4,4,4,4,3,Social Media,Yes
15,Female,From 20 to 29,Student,"$100,000-$150,000",Daily,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,5,2,5,5,5,5,2,Social Media;Through friends and word of mouth;In Store displays,No
16,Female,From 20 to 29,Employed,"$100,000-$150,000",Weekly,Take away,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,4,1,5,4,3,4,4,Starbucks Website/Apps,No
17,Male,From 30 to 39,Employed,"Less than $25,000",Weekly,Drive-thru,Below 30 minutes,Yes,Coffee,Between $15-$20,4,3,3,4,3,3,3,Social Media,Yes
18,Male,From 20 to 29,Employed,"$50,000 - $100,000",Never,Dine in,Below 30 minutes,Yes,Coffee,Less than $10,4,4,4,4,4,4,4,Social Media;Through friends and word of mouth,Yes
19,Male,From 20 to 29,Employed,"$25,000 - $50,000",Weekly,Take away,Below 30 minutes,Yes,Coffee,Between $10-$15,4,3,4,5,5,5,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
20,Female,From 20 to 29,Self-employed,"Less than $25,000",Rarely,Take away,Below 30 minutes,Yes,Cold drinks,Between $10-$15,3,4,3,4,3,4,2,Emails,Yes
21,Male,From 30 to 39,Employed,"$100,000-$150,000",Rarely,Take away,Below 30 minutes,Yes,Coffee,Between $10-$15,2,2,5,3,3,4,3,Social Media;Emails,No
22,Female,From 20 to 29,Employed,"$100,000-$150,000",Weekly,Dine in,Below 30 minutes,No,Coffee,Less than $10,5,3,4,3,3,4,5,Social Media,Yes
23,Male,From 20 to 29,Employed,"More than $150,000",Daily,Dine in,More than 3 hours,No,Coffee,Less than $10,5,2,5,5,2,4,3,Through friends and word of mouth,No
24,Female,From 20 to 29,Student,"More than $150,000",Never,Drive-thru,Between 1 hour to 2 hours,Yes,Cold drinks;Pastries;Sandwiches,Between $15-$20,5,4,4,5,4,4,3,Social Media;Through friends and word of mouth,Yes
25,Male,40 and above,Self-employed,"$25,000 - $50,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Coffee;Juices;Pastries;Sandwiches,Between $10-$15,4,3,4,4,3,3,5,Through friends and word of mouth;In Store displays,Yes
26,Male,From 30 to 39,Employed,"$50,000 - $100,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks,Less than $10,4,3,1,4,4,5,4,Social Media;In Store displays;Billboards,Yes
27,Male,From 30 to 39,Employed,"Less than $25,000",Monthly,Drive-thru,Below 30 minutes,No,Coffee,Between $15-$20,4,2,4,4,4,4,2,Application offer,No
28,Male,From 20 to 29,Self-employed,"Less than $25,000",Weekly,Take away,Below 30 minutes,No,Coffee,Less than $10,5,3,4,4,3,4,3,Social Media,Yes
